"Progenitor-Variable","Variable","Name","Units/ Categorization","Description","Comment"
"PreCI_dichotomous_T0","PreCI_dichotomous_T0","Preoperative cognitive impairment","- 0 = no PreCI - 1 = PreCI","Patients’ Z scores of the baseline measure of each test parameter in relation to the baseline measures of the control group: For PreCI, 2 Z scores < -1.96 or a combined Z score < -1.96 were necessary.",""
"icd0261_v1","PastSurgery","Past surgeries","- 0 = none - 1 = any","Past surgeries in medical history from patient’s self report at the timepoint of study inclusion","number of previous surgeries has  been reduced to yes/no catgories"
"ISCED_binary","ISCED_binary","ISCED levels reduced to two levels","- 1= levels 1-4 - 2= levels 5-6","International Standard Classification of Education (ISCED)","ISCED categories and subcategories have been reduced to two levels"
"GDS_imputed_T0_trial","GDS_imputed_T0_trial","Preoperative Geriatric Depression Scale","Points","Geriatric Depression Scale","Ipsative imputation was used to correct for missing items in incomplete questionnaires. The individual total scale score is imputed by multiplying the average of the available item scores by the number of total items: (sum of responded items/number of responses) x total number of items. See reference list for more details."
"GDS_imputed_T1_trial","GDS_imputed_T1_trial","Geriatric Depression Scale at discharge","Points","Geriatric Depression Scale","Ipsative imputation was used to correct for missing items in incomplete questionnaires."
"GDS_imputed_T2_trial","GDS_imputed_T2_trial","Geriatric Depression Scale at 3 month follow-up","Points","Geriatric Depression Scale","Ipsative imputation was used to correct for missing items in incomplete questionnaires."
"ICUdays","ICUdays","Length of stay at ICU","Decimal days (Berlin), days (Utrecht)","In Utrecht, the length of ICU stay was recorded in full days. Thus, if a patient was admitted to ICU on 1.1.2016 and discharged to a peripheral ward on 2.1.2016, he/she stayed for 1 day, irregardeless of the time point of admission or discharge. For Berlin, the time of admission and discharge were recorded and the length of stay was recorded in decimal days. Thus, only if a patient was admitted on 1.1.2016 at 8:00 and discharged on 2.1.2016 at 8:00, length of stay was 1; If he was admitted at 8:00 and discharged at 20:00 the next day, he was given a 1.5 length of stay (one and a half day, or 1d+12h). Decimal days are more precise but can undergo the same arithmetrics as conventional units of days."
"cc_score_pre","cc_score_pre","Charlson comorbidity index pre-op","Points","Charlson comorbidity index at the timepoint of study inclusion calculated on the basis of known comorbidities (From medical records and information from the patient)","See references"
"cc_score_post","cc_score_post","Charlson comorbidity index post-op","Points","corrected Charlson comorbidity index based on histological results of intraoperative tumor samples and surgical reports","See references"
"tumorLymphomalLeukemia","TumorLymphomaLeukemia","Tumor Lymphoma Leukemia pre-operative","- 0 = no - 1 = yes","Indication for Tumor or Lymphoma or Leukemia in medical history of the patient at the time point of study inclusion","Derived from the Charlson comorbidity score. Tumour does not need to be a malignoma."
"premedi_benzo_yes_no_v2","premedi_benzo_yes_no_v2","Premedication with benzodiazepines","- 0 = no - 1 = yes","Benzodiazepine intake immediately before surgery",""
"premedi_any_yes_no_v2","premedi_any_yes_no_v2","Any premedication","- 0 = no - 1 = yes","Any premedication before surgery (Benzodiazepine, clonidine, antihistaminergics, etc.)",""
"OP_Dauer_min","surgeryDuration","Duration of surgery","minutes","Time between incision and suture in minutes",""
"inhouse_mortality_yes_no","inhouse_mortality_yes_no","Inhouse mortality","- 0 = no - 1 = yes","The patient deceased before discharge ≙ Inhouse mortality",""
"BrainVol_cm3_pre","BrainVol_cm3_pre","Brainvolume preoperative","cm³","Sum of voxels in SPM12 grey and white matter maps (whole brain tissue)","Method described1"
"BFCS_Vol_cm3_pre","BFCS_Vol_mm3_pre","Basal forebrain cholinergic system volume preoperative","mm³","Sum of voxels in Zaborszkys map of the basal forebrain (CH12, CH3, CH4, CH4p)","Method described1,2"
"NBM_Vol_cm3_pre","NBM_Vol_mm3_pre","Nucleus basalis Meynert volume preoperative","mm³","Sum of voxels in Zaborszkys regions most likely corresponding to the Nucleus basalis of Meynert (magnocellularis)(CH4, CH4p)","Method described1,2"
"EQ5D_Index_baseline","EQ5D_Index_baseline","EQ5D index before surgery","Each combination of possible answers to the five EQ5D questions  (corresponding to a specific health state) has been allocated to an index value. These index values can be taken from a freely available country-specific “value set” using freely-available index score calculators. The index values were derived from validation studies in which participants were asked to quantify how much better than death or worse than full health each specific health state was using a time-trade-off model. See references for details.","Index score provided by Cellogic GmbH","See References."
"T1_Proinsulinintakt","T1_Proinsulinintakt","Proinsulin, intact at baseline","pmol/L","Immundiagnostik",""
"T1_oxLDL","T1_oxLDL","oxidized LDL at baseline","ng/ml","Immundiagnostik",""
"T1_Nitrotyrosin","T1_Nitrotyrosin","Nitrotyrosin at baseline","nM","Immundiagnostik",""
"T1_Calprotectinn","T1_Calprotectin","Calprotectin at baseline","ng/mL","Immundiagnostik",""
"T1_Zonulin_N1200","T1_Zonulin_N1200","Zonulin at baseline","ng/mL","Immundiagnostik",""
"T1_hArginin","T1_hArginin","Homoarginine at baseline","µmol/l","Immundiagnostik",""
"T1_ADMA","T1_ADMA","Asymmetric dimethylarginine  at baseline","µmol/l","Immundiagnostik",""
"T1_SDMA","T1_SDMA","Symmetric dimethylarginine  at baseline","µmol/l]","Immundiagnostik",""
"T1_KNY","T1_KNY","Kynurenin at baseline","µM/L","Immundiagnostik",""
"T1_KNYAcid","T1_KNYAcid","Kynurenine-Acid at baseline","nM","Immundiagnostik",""
"T1_NTproBNP_MissingRepl","T1_NTproBNP_MissingRepl","N-terminal pro-brain natriuretic peptide at baseline","pmol/l","Immundiagnostik","""<3"" = missing replaced by 2.9"
"T1_MDA_MissingRepl","T1_MDA_MissingRepl","Malondialdehyde at baseline","µmol/l","Immundiagnostik","""below detection limit"" replaced by 0.15"
"T1_CRP_InclExtrapol","T1_CRP_InclExtrapol","C-reactive protein at baseline","mg/L","Immundiagnostik","original data including extrapolated values provided by Immundiagnostik"
"T1_S100A12","T1_S100A12","S100A12 serum at baseline","ng/ml","Immundiagnostik",""
"T1_Troponin_MissingRepl","T1_Troponin_MissingRepl","Troponin at baseline","pg/ml","Immundiagnostik","“<13” replaced by “12.9”"
"T1_TRP","T1_TRP","Tryptophan at baseline","µM/l","Immundiagnostik",""
"T1Albumin_gL","T1Albumin_gL","Albumine at baseline","g/L","Immediate Lab",""
"T1ALAT_GPT_U_L","T1ALAT_GPT_U_L","ALT at baseline","U/L","Immediate Lab","Previous variables T1GPT_ALT_Se and T1ALAT have been merged"
"T1ASAT_GOT_U_L","T1ASAT_GOT_U_L","AST at baseline","U/L","Immediate Lab","Previous variables T1ASAT and T1_GOT_AST_Se have been merged"
"T1Basophileabsolut","T1Basophileabsolut","Basophiles at baseline","/nL","Immediate Lab",""
"T1Basophile_Percent","T1Basophile_Percent","Basophiles at baseline","%","",""
"T1Creatinine_micromolL","T1Creatinine_micromolL","Creatinine at baseline","µmol/L","Immediate Lab",""
"T1eGFR","T1eGFR","Estimated glom. Filtration rate according to CKD-EPI at baseline","ml/min/1.73m²","Immediate Lab",""
"T1Eosinophileabsolut","T1Eosinophileabsolut","Eosinophiles at baseline","/nL","Immediate Lab",""
"T1Eosinophile_Percent","T1Eosinophile_Percent","Eosinophiles at baseline","%","Immediate Lab",""
"T1Erythroblasten_Percent","T1Erythroblasten_Percent","Erythroblasts at baseline","%","Immediate Lab",""
"T1Erythrozyten","T1Erythrozyten","Erythrocytes at baseline","/pl","Immediate Lab",""
"T1gammaGTSe","T1gammaGTSe","gamma Glutamyltransferase at baseline","U/l","Immediate Lab",""
"T1FinalGlucose_mmolL","T1FinalGlucose_mmolL","Glucose at baseline","mmol/L","Immediate Lab",""
"T1HbA1c_mmolmol","T1HbA1c_mmolmol","HbA1c at baseline","mmol/mol","Immediate Lab",""
"T1FinalHDL_mmolL","T1FinalHDL_mmolL","High Density Lipoprotein at baseline","mmol/l","Immediate Lab",""
"T1Haematocrit_l_per_l","T1Haematocrit_l_per_l","Hematocrite at baseline","L/L","Immediate Lab",""
"T1Hemoglobin","T1Hemoglobin","Hemoglobin at baseline","g/dl","Immediate Lab",""
"T1LDHSe","T1LDHSe","Lactate dehydrogenase at baseline","U/l","Immediate Lab",""
"T1LDL_mmolL","T1LDL_mmolL","Low density lipoprotein-cholesterol at baseline","mmol/L","Immediate Lab",""
"T1Leukocytes","T1Leukocytes","Leukocytes at baseline","/nL","Immediate Lab",""
"T1Lymphozytenabsolut","T1Lymphozytenabsolut","Lymphocytes absolute at baseline","/nL","Immediate Lab",""
"T1Lymphozyten_Percent","T1Lymphozyten_Percent","Lymphocytes at baselin","%","Immediate Lab",""
"T1MCH_fmol","T1MCH_fmol","Mean corpuscular hemoglobine at baseline","fmol","Immediate Lab",""
"T1MCHC_mmolL","T1MCHC_mmolL","Mean corpuscular hemoglobin concentration at baseline","mmol/L","Immediate Lab",""
"T1MCV","T1MCV","Mean corpuscular volume at baseline","fL","Immediate Lab",""
"T1Monozytenabsolut","T1Monozytenabsolut","Monocytes absolute at baseline","nL","Immediate Lab",""
"T1Monozyten_Percent","T1Monozyten_Percent","Monocytes at baseline","%","Immediate Lab",""
"T1MPV","T1MPV","Mean platelet volume at baseline","fL","Immediate Lab",""
"T1Neutrophileabsolut","T1Neutrophileabsolut","Neutrophiles at baseline","/nL","Immediate Lab",""
"T1Neutrophile_Percent","T1Neutrophile_Percent","Neutrophiles at baseline","%","Immediate Lab",""
"T1nonHDL_mmolL","T1nonHDL_mmolL","Non-high density lipoprotein-cholesterol at baseline","mmol/L","Immediate Lab",""
"T1Potassium_mmolL","T1Potassium_mmolL","Potassium at baseline","mmol/L","Immediate Lab",""
"T1RDW_CV","T1RDW_CV","Red cell distribution width at baseline","%","Immediate Lab",""
"T1Reticulated_Platelets_Percent","T1Reticulated_Platelets_Percent","reticulated_Platelets at baseline","%","Immediate Lab",""
"T1Thrombozyten","T1Thrombozyten","Thrombocytes at baseline","/nL","Immediate Lab",""
"T1TotalCholesterol_mmolL","T1TotalCholesterol_mmolL","Total cholesterol at baseline","mmol/L","Immediate Lab",""
"T1FinalTG_mmolL","T1FinalTG_mmolL","Triglycerides at baseline","mmol/l","Immediate Lab",""
"T1UnreifeGranulozytenabsolut","T1UnreifeGranulozytenabsolut","Immature granulocytes at baseline","/nL","Immediate Lab",""
"T1UnreifeGranulozyten_Percent","T1UnreifeGranulozyten_Percent","Immature granulocytes at baseline","%","Immediate Lab",""
"T1UricAcid_mmolL","T1UricAcid_mmolL","Uric acid at baseline","Mmol/L","Immediate Lab",""
"T1_AdipoQTotal","T1_AdipoQTotal","Total adiponectin  at baseline","ug/µl","MDC lab",""
"T1_AdipoQHMW","T1_AdipoQHMW","High molecular weight adiponectin  at baseline","ng/microl","MDC lab",""
"T1_NonHmwAdipon","T1_NonHmwAdipon","Non-high molecular weight adiponectin at baseline","ng/microl","MDC lab",""
"T1_IL6","T1_IL6","IL-6 at baseline","pg/ml","MDC lab",""
"T1_Cpeptide_total","T1_Cpeptide_total","C-peptide at baseline","pmmol/ml","MDC lab","MDC and BioVendor analyses merged"
"T1_Leptin_total","T1_Leptin_total","Leptin at baseline","ng/ml","MDC lab","MDC and BioVendor analyses merged"
"T1_LeptinRec_total","T1_LeptinRec_total","Leptin receptor at baseline","ng/ml","MDC lab","MDC and BioVendor analyses merged"
"T1_Leptin_Lab","T1_Leptin_Lab","Lab (MDC or BioVendor) providing leptin, SLR and c-peptide","- 1 = MDC - 2 = BioVendor","1",""
"T1_Leptin_SLR_Ratio","T1_Leptin_SLR_Ratio","Leptin/SLR ratio at baseline","No dimension","MDC lab",""
"T1_Leptin_Adipon_Ratio","T1_Leptin_Adipon_Ratio","Leptin/total adiponectin ratio at baseline","No dimension","MDC lab",""
"T1_SORL1","T1_SORL1","Sortilin-related receptor -1 at baseline","ng/ml","MDC lab","“<0.000” replaced by “0.000”; “>59.532” replaced by “59.532”"
"T1_IL2_pgml","T1_IL2_pgml","IL-2 at baseline","pg/ml","MDC lab",""
"T1_IL8_pgml","T1_IL8_pgml","IL-8 at baseline","pg/ml","MDC lab",""
"T1_IL10_pgml","T1_IL10_pgml","IL-10 at baseline","pg/ml","MDC lab",""
"T1_IL18_pgml","T1_IL18_pgml","IL-18  at baseline","pg/ml","MDC lab",""
"Final_T1_TP42_40","Final_T1_TP42_40","Serum Beta amyloid species (Aβ42/Aβ40 ratio)","","",""
